år,folkmängd,folkökning,födda,döda,födelseöverskott,samtliga inflyttningar,samtliga utflyttningar,inflyttningar från kommuner inom länet,inflyttningar från övriga län,invandringar,utflyttningar till kommuner inom länet,utflyttningar till övriga län,utvandringar,flyttningsöverskott totalt,flyttningsöverskott eget län,flyttningsöverskott övriga Sverige,invandringsöverskott,justeringspost,tillväxttakt
2013,118349,1055,1493,828,665,6562,6184,1462,4096,1004,1103,4565,516,378,359,-469,488,12,0.8914312752959468
2014,119613,1264,1422,834,588,6851,6173,1463,4419,969,1138,4548,487,678,325,-129,482,-2,1.0567413241035672
2016,122892,2115,1480,832,648,7574,6129,1589,4688,1297,1205,4418,506,1445,384,270,791,22,1.7210233375646908
2017,125080,2188,1494,847,647,7731,6206,1626,4616,1489,1172,4540,494,1525,454,76,995,16,1.7492804605052765
2018,127119,2039,1481,907,574,7756,6299,1665,4802,1289,1326,4440,533,1457,339,362,756,8,1.6040088421085754
2022,132235,1238,1320,977,343,7445,6593,1491,4862,1092,1288,4787,518,852,203,75,574,43,0.9362120467349794
2023,133091,856,1221,932,289,7347,6808,1453,4775,1119,1351,4736,721,539,102,39,398,28,0.6431689595840441
2015,120777,1164,1464,864,600,7103,6546,1493,4454,1156,1151,4425,970,557,342,29,186,7,0.9637596562259371
2019,128901,1782,1547,925,622,7579,6438,1556,4721,1302,1291,4678,469,1141,265,43,833,19,1.3824563036749133
2020,130224,1323,1521,909,612,7256,6564,1428,4879,949,1449,4593,522,692,-21,286,427,19,1.0159417618872097
2021,130997,773,1448,974,474,7055,6824,1385,4705,965,1441,4896,487,231,-56,-191,478,68,0.5900898493858638
